hipcenter: 0.01479413,-0.03786261,2.023515	hipright: 0.05685292,-0.1092328,2.057627	kneeright: 0.0311065,-0.4771509,2.049723	ankleright: 0.01835006,-0.7662024,2.047843	footright: 0.06979968,-0.8006366,1.9853	hipleft: -0.03318366,-0.08477757,1.973118	kneeleftleft: -0.05456979,-0.4657004,1.975524	ankleleft: -0.1057546,-0.7254903,1.931699	footleft: -0.05430494,-0.7599245,1.869156	TIME4/12/2014 2:04:22 PM
hipcenter: 0.01652529,-0.03765754,2.023179	hipright: 0.05844029,-0.1083227,2.056832	kneeright: 0.03158126,-0.4792214,2.049003	ankleright: 0.01832894,-0.7662197,2.047833	footright: 0.07117636,-0.8007143,1.986543	hipleft: -0.03052665,-0.0842353,1.973149	kneeleftleft: -0.05337398,-0.4663776,1.97519	ankleleft: -0.1054653,-0.7257357,1.931575	footleft: -0.05261787,-0.7602303,1.870285	TIME4/12/2014 2:04:22 PM
hipcenter: 0.01909794,-0.03658487,2.023646	hipright: 0.06053819,-0.1080817,2.057285	kneeright: 0.03227963,-0.4801498,2.048817	ankleright: 0.01832092,-0.7662617,2.047887	footright: 0.07271753,-0.8007989,1.98804	hipleft: -0.02767869,-0.08324648,1.973016	kneeleftleft: -0.05252074,-0.4664088,1.975226	ankleleft: -0.1052093,-0.7259816,1.931711	footleft: -0.05081265,-0.7605188,1.871864	TIME4/12/2014 2:04:22 PM
hipcenter: 0.02161106,-0.03644216,2.024303	hipright: 0.062038,-0.1076226,2.057621	kneeright: 0.03294123,-0.4809627,2.049009	ankleright: 0.01819975,-0.7663804,2.047986	footright: 0.07313756,-0.8009478,1.988707	hipleft: -0.02418493,-0.082747,1.973909	kneeleftleft: -0.05135966,-0.4659914,1.975995	ankleleft: -0.1050856,-0.7260966,1.931857	footleft: -0.0501478,-0.760664,1.872578	TIME4/12/2014 2:04:22 PM
hipcenter: 0.02288501,-0.03663721,2.024226	hipright: 0.06325178,-0.1082938,2.057606	kneeright: 0.03469174,-0.4828553,2.050742	ankleright: 0.01844051,-0.7661569,2.048192	footright: 0.07337434,-0.8006566,1.988899	hipleft: -0.02313179,-0.08263415,1.973265	kneeleftleft: -0.05076795,-0.4659896,1.976958	ankleleft: -0.105069,-0.7262571,1.932045	footleft: -0.05013514,-0.7607568,1.872752	TIME4/12/2014 2:04:22 PM
hipcenter: 0.02524576,-0.03752229,2.025248	hipright: 0.06554371,-0.1098124,2.059145	kneeright: 0.03611504,-0.4842611,2.052262	ankleright: 0.01849441,-0.7661302,2.04828	footright: 0.0736936,-0.8005503,1.98923	hipleft: -0.0206512,-0.08320114,1.973442	kneeleftleft: -0.05024916,-0.4661949,1.977406	ankleleft: -0.1050239,-0.7263466,1.93231	footleft: -0.04982475,-0.7607666,1.87326	TIME4/12/2014 2:04:22 PM
hipcenter: 0.05265364,-0.01533687,2.020594	hipright: 0.09969535,-0.08982997,2.054357	kneeright: 0.05188158,-0.4898604,2.05639	ankleright: 0.02188576,-0.769026,2.053339	footright: 0.07454146,-0.8019227,1.991841	hipleft: 0.00507544,-0.06416369,1.968532	kneeleftleft: -0.04279418,-0.4608834,1.972707	ankleleft: -0.1008486,-0.7280586,1.936514	footleft: -0.04819295,-0.7609552,1.875016	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05230552,-0.01511771,2.020753	hipright: 0.09918107,-0.08946044,2.054497	kneeright: 0.05042873,-0.4912678,2.056211	ankleright: 0.02163441,-0.769195,2.053407	footright: 0.07436687,-0.8021141,1.991949	hipleft: 0.004907551,-0.06407021,1.968679	kneeleftleft: -0.04387376,-0.4609289,1.972242	ankleleft: -0.1013803,-0.7277505,1.936374	footleft: -0.0486478,-0.7606696,1.874915	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05199956,-0.0146165,2.02134	hipright: 0.09890303,-0.08890904,2.055117	kneeright: 0.05078044,-0.4906439,2.057151	ankleright: 0.02139818,-0.7690397,2.053358	footright: 0.07411879,-0.8019822,1.991857	hipleft: 0.004731815,-0.06374269,1.969265	kneeleftleft: -0.04411904,-0.4606469,1.972245	ankleleft: -0.1019177,-0.727764,1.936469	footleft: -0.04919712,-0.7607065,1.874968	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05174854,-0.01461344,2.021568	hipright: 0.09853825,-0.08869223,2.055347	kneeright: 0.05075327,-0.4904235,2.05726	ankleright: 0.02104258,-0.7693153,2.053445	footright: 0.07382438,-0.8022546,1.991955	hipleft: 0.004617337,-0.06361013,1.969634	kneeleftleft: -0.04417235,-0.4606335,1.972264	ankleleft: -0.1019954,-0.7278973,1.936583	footleft: -0.04921361,-0.7608366,1.875093	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05156954,-0.01436543,2.021816	hipright: 0.09816796,-0.08831367,2.05574	kneeright: 0.04913666,-0.4923112,2.056395	ankleright: 0.02095572,-0.7694963,2.053456	footright: 0.07379136,-0.8024653,1.991986	hipleft: 0.004603689,-0.06342998,1.969848	kneeleftleft: -0.04473328,-0.4607612,1.972119	ankleleft: -0.1022701,-0.727571,1.936278	footleft: -0.04943451,-0.76054,1.874808	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05125515,-0.01313277,2.022378	hipright: 0.09800055,-0.08731753,2.056351	kneeright: 0.04944903,-0.4920056,2.056891	ankleright: 0.02085987,-0.769501,2.053503	footright: 0.07373513,-0.802512,1.992055	hipleft: 0.004338125,-0.06257187,1.970313	kneeleftleft: -0.04509389,-0.4606616,1.971961	ankleleft: -0.1022002,-0.7276591,1.93634	footleft: -0.04932498,-0.7606701,1.874892	TIME4/12/2014 2:04:24 PM
hipcenter: 0.05042135,-0.01308421,2.022462	hipright: 0.09712608,-0.08764582,2.056499	kneeright: 0.04945945,-0.4915872,2.057339	ankleright: 0.02088897,-0.769567,2.053497	footright: 0.07356459,-0.8026042,1.991853	hipleft: 0.003142793,-0.06225908,1.970335	kneeleftleft: -0.04516972,-0.4605324,1.972057	ankleleft: -0.1022383,-0.727779,1.936393	footleft: -0.04956269,-0.7608163,1.87475	TIME4/12/2014 2:04:24 PM
hipcenter: 0.0498407,-0.01312083,2.023907	hipright: 0.09614369,-0.08739944,2.058344	kneeright: 0.048876,-0.4909183,2.057904	ankleright: 0.02093686,-0.7699679,2.053479	footright: 0.07368669,-0.8031434,1.991937	hipleft: 0.002456919,-0.06213303,1.972612	kneeleftleft: -0.04545914,-0.4605041,1.972573	ankleleft: -0.1023135,-0.7276354,1.936347	footleft: -0.04956372,-0.760811,1.874804	TIME4/12/2014 2:04:24 PM
