hipcenter: -0.004473817,-0.02208948,2.290718	hipright: 0.07605708,-0.09724195,2.272069	kneeright: 0.0791053,-0.55541,2.271596	ankleright: 0.07753816,-0.867848,2.269767	footright: 0.07920279,-0.8993019,2.169875	hipleft: -0.08324451,-0.09820442,2.259052	kneeleftleft: -0.1085912,-0.5687668,2.272923	ankleleft: -0.110773,-0.8704826,2.269199	footleft: -0.1091083,-0.9019365,2.169307	TIME4/8/2014 11:48:58 AM
hipcenter: -0.003761773,-0.0237274,2.297287	hipright: 0.07862872,-0.1032188,2.287434	kneeright: 0.07923988,-0.5544029,2.27192	ankleright: 0.07633541,-0.8677605,2.267292	footright: 0.07843696,-0.8994833,2.167519	hipleft: -0.08377692,-0.1015113,2.265551	kneeleftleft: -0.1088318,-0.5680082,2.27403	ankleleft: -0.1103097,-0.8704982,2.268517	footleft: -0.1082081,-0.902221,2.168744	TIME4/8/2014 11:48:58 AM
hipcenter: 0.0002352153,-0.1417864,2.376686	hipright: 0.0719171,-0.2252291,2.388559	kneeright: 0.06420201,-0.5887078,2.214365	ankleright: 0.0742971,-0.8400198,2.194252	footright: 0.03672095,-0.9058619,2.160036	hipleft: -0.07713192,-0.2194474,2.367566	kneeleftleft: -0.1055985,-0.6289471,2.197834	ankleleft: -0.1196468,-0.8623465,2.177859	footleft: -0.1779897,-0.878283,2.120763	TIME4/8/2014 11:49:04 AM
hipcenter: 0.0004509334,-0.1291135,2.37535	hipright: 0.07163151,-0.2120955,2.386997	kneeright: 0.0645044,-0.5872152,2.215561	ankleright: 0.07482087,-0.8377643,2.194834	footright: 0.04017967,-0.9062199,2.162736	hipleft: -0.07696639,-0.2080382,2.365086	kneeleftleft: -0.1054543,-0.5940222,2.210412	ankleleft: -0.1175449,-0.8306165,2.177613	footleft: -0.114255,-0.8698233,2.08803	TIME4/8/2014 11:49:04 AM
hipcenter: 0.004705656,-0.07210672,2.36848	hipright: 0.0775099,-0.1559021,2.378122	kneeright: 0.06496987,-0.5791454,2.223427	ankleright: 0.07651463,-0.8354582,2.196256	footright: 0.04537327,-0.9072781,2.168164	hipleft: -0.07032294,-0.1523627,2.354279	kneeleftleft: -0.104614,-0.5851951,2.217588	ankleleft: -0.1170957,-0.8289748,2.178334	footleft: -0.1125467,-0.8666224,2.088135	TIME4/8/2014 11:49:04 AM
hipcenter: 0.005896961,-0.04427548,2.362095	hipright: 0.07778041,-0.1261622,2.367543	kneeright: 0.06888372,-0.5616658,2.240098	ankleright: 0.07829096,-0.8346174,2.196627	footright: 0.04876449,-0.908331,2.171868	hipleft: -0.06982426,-0.1244897,2.346029	kneeleftleft: -0.1084187,-0.5700227,2.23313	ankleleft: -0.1169412,-0.8289714,2.181147	footleft: -0.1131404,-0.8652014,2.090325	TIME4/8/2014 11:49:05 AM
hipcenter: 0.005585401,-0.02774426,2.355881	hipright: 0.07692625,-0.1083238,2.356663	kneeright: 0.0764002,-0.5517406,2.254723	ankleright: 0.07873746,-0.8343445,2.200374	footright: 0.08261903,-0.8687344,2.108826	hipleft: -0.06845899,-0.1052943,2.33633	kneeleftleft: -0.1105949,-0.5651821,2.24245	ankleleft: -0.1106495,-0.8385971,2.197996	footleft: -0.1067679,-0.872987,2.106447	TIME4/8/2014 11:49:05 AM
hipcenter: 0.007006654,-0.01622959,2.352487	hipright: 0.07796568,-0.09683925,2.351352	kneeright: 0.08026358,-0.5490811,2.260904	ankleright: 0.07849309,-0.8337077,2.203765	footright: 0.08206645,-0.8671685,2.111843	hipleft: -0.06652773,-0.09433966,2.330985	kneeleftleft: -0.1113467,-0.5614623,2.247818	ankleleft: -0.10704,-0.8412045,2.203702	footleft: -0.1034667,-0.8746654,2.11178	TIME4/8/2014 11:49:05 AM
hipcenter: -0.01302167,-0.08670907,2.369894	hipright: 0.06535523,-0.1621242,2.396824	kneeright: 0.07523525,-0.5802343,2.319233	ankleright: 0.08531541,-0.8840265,2.27485	footright: 0.1413969,-0.9439537,2.259478	hipleft: -0.08697135,-0.1646956,2.371583	kneeleftleft: -0.106059,-0.5913099,2.310174	ankleleft: -0.09876668,-0.8799626,2.260807	footleft: -0.03490847,-0.9309758,2.243705	TIME4/8/2014 11:49:07 AM
hipcenter: -0.02058333,-0.3766168,2.536088	hipright: 0.07223256,-0.4575693,2.544591	kneeright: 0.09512749,-0.6636603,2.229379	ankleright: 0.07227041,-0.9002686,2.211037	footright: 0.08086648,-0.8217903,2.184648	hipleft: -0.1074262,-0.4620731,2.523607	kneeleftleft: -0.1277997,-0.665789,2.206613	ankleleft: -0.1174665,-0.9033128,2.178448	footleft: -0.136096,-0.8314267,2.216058	TIME4/8/2014 11:49:08 AM
